id,theme_id,category_id,start_m,investments_m,crowdfunding_m,experience_years,team_size,tech_investment,competitors,audience_reach,market_size,team_desc,tech_level,comp_level,social_impact_desc,demand_level
1,Retail,Medical,8250,153000,17254,15,43,534498,67,923685,64385704,эксперты,высокий,низкая конкуренция,низкое влияние,низкий спрос
2,Food,Media,31250,68000,47607,7,29,483952,67,708248,66056827,новички,высокий,низкая конкуренция,среднее влияние,средний спрос
3,Space,FinTech,44250,34500,34570,3,30,646190,55,338449,37428250,средний опыт,средний,низкая конкуренция,высокое влияние,низкий спрос
4,Space,Medical,28750,55000,33751,1,44,532316,8,997385,98022649,эксперты,низкий,средняя конкуренция,среднее влияние,средний спрос
5,Technology,EdTech,38250,32000,2841,15,17,724593,11,846575,67361369,эксперты,средний,средняя конкуренция,низкое влияние,высокий спрос
6,Environment,FinTech,43250,187500,20840,18,19,459805,79,753706,6656632,новички,средний,высокая конкуренция,низкое влияние,высокий спрос
7,Finance,Logistics,87000,140500,37663,14,3,675519,23,725684,47689975,новички,низкий,высокая конкуренция,высокое влияние,низкий спрос
8,Fashion,Cybersecurity,65000,100000,40303,1,25,490171,92,806031,30370437,новички,средний,средняя конкуренция,среднее влияние,средний спрос
9,Fashion,E-commerce,22250,5500,22325,18,32,258929,9,676913,67403233,эксперты,низкий,высокая конкуренция,низкое влияние,высокий спрос
10,Food,FoodTech,750,173500,45872,8,13,576940,23,175332,46262128,эксперты,средний,средняя конкуренция,высокое влияние,средний спрос
11,Education,Cybersecurity,46750,72000,38999,6,25,166304,98,187880,44580497,средний опыт,высокий,средняя конкуренция,высокое влияние,высокий спрос
12,Fashion,SpaceTech,94250,96500,30873,6,35,314142,28,605872,83217308,новички,низкий,низкая конкуренция,низкое влияние,высокий спрос
13,Healthcare,Biotech,35000,72000,25186,8,32,255638,95,563034,53515270,новички,высокий,высокая конкуренция,среднее влияние,высокий спрос
14,Transportation,AI,24500,38000,46680,11,4,532698,21,867768,75621296,новички,низкий,высокая конкуренция,высокое влияние,средний спрос
15,Biotech,E-commerce,73750,77500,5219,6,19,762837,46,914057,9232991,эксперты,низкий,высокая конкуренция,низкое влияние,низкий спрос
16,Energy,EdTech,34000,155500,19001,7,41,748915,9,263529,78460978,средний опыт,низкий,высокая конкуренция,высокое влияние,высокий спрос
17,Transportation,Logistics,15500,25500,25764,10,34,518198,84,354239,59220318,новички,высокий,средняя конкуренция,высокое влияние,высокий спрос
18,Entertainment,SpaceTech,5000,141500,36501,3,2,515893,25,871520,44043422,средний опыт,высокий,средняя конкуренция,низкое влияние,средний спрос
19,Transportation,Property,87750,171500,2122,9,40,744382,78,573160,8345649,средний опыт,низкий,низкая конкуренция,низкое влияние,низкий спрос
20,Real Estate,Biotech,46500,175000,6844,19,27,425780,51,763221,64888821,эксперты,высокий,высокая конкуренция,высокое влияние,низкий спрос
21,Security,FashionTech,89500,113000,32058,20,10,569873,80,467598,74134373,новички,высокий,средняя конкуренция,среднее влияние,высокий спрос
22,Healthcare,EnergyTech,82500,98500,37852,4,23,365702,95,737795,48182842,новички,средний,средняя конкуренция,среднее влияние,средний спрос
23,Technology,SpaceTech,55500,29000,46123,4,29,385847,40,921308,45583231,эксперты,низкий,средняя конкуренция,среднее влияние,высокий спрос
24,Education,EdTech,88250,190500,43813,18,26,882129,92,293210,62760775,новички,высокий,низкая конкуренция,низкое влияние,низкий спрос
