id,theme,category,start_m,investments_m,crowdfunding_m,team_idx,tech_idx,comp_idx,social_idx,demand_idx
1,Finance,EdTech,459470,1298384,0,5.9,7.0,9.0,5.5,4.1
2,Healthcare,E-commerce,898060,6838769,1641275,7.2,6.6,3.0,8.6,1.7
3,Real Estate,Media,472402,7935364,2191543,7.4,6.1,7.5,1.1,2.3
4,Retail,Property,287127,2114118,3447649,4.2,7.2,6.7,8.5,7.5
5,Entertainment,E-commerce,794040,5454554,1746592,4.6,7.3,1.9,7.4,6.1
6,Real Estate,GreenTech,905502,1157868,0,1.4,8.2,3.9,8.7,6.9
7,Entertainment,Medical,613313,2212617,3981664,6.0,2.2,2.4,9.4,2.2
8,Entertainment,FinTech,711760,5339722,2656435,1.3,1.9,8.7,3.7,6.7
9,Healthcare,Property,647240,2159062,4684836,10.0,5.0,3.8,8.1,6.8
10,Environment,Property,204707,1452056,799245,3.2,4.0,8.0,6.4,8.8
11,Retail,GreenTech,485629,8902363,2396734,4.2,1.8,8.7,7.1,9.7
12,Finance,Property,342824,0,0,3.0,7.0,1.1,3.9,7.2
13,Retail,EdTech,247997,8889800,0,3.6,2.0,1.8,7.2,2.8
14,Finance,EdTech,608038,8152001,2823922,6.1,4.5,2.7,8.4,5.5
15,Environment,EdTech,417587,0,4780241,6.8,1.4,10.0,8.3,10.0
16,Technology,GreenTech,272529,8266812,0,3.8,2.5,8.5,1.7,2.3
17,Education,E-commerce,512723,2068410,2596327,3.9,5.1,3.1,3.7,2.7
18,Healthcare,Media,971945,2392122,4987499,9.3,9.8,2.3,7.2,1.6
19,Healthcare,EdTech,874702,1360301,4466186,9.8,1.9,7.5,2.7,8.0
20,Technology,FinTech,724640,4495553,354194,9.4,4.5,6.7,1.5,7.5
21,Education,Property,723021,1047195,4870512,4.7,7.7,8.8,9.5,4.8
22,Retail,Medical,573114,0,3592795,7.4,6.3,3.6,0.9,0.3
23,Healthcare,Property,148243,0,2522994,3.3,3.0,8.5,5.0,1.6
24,Healthcare,E-commerce,611107,0,506017,4.6,3.0,9.2,4.0,7.1
25,Real Estate,FinTech,205306,0,1129708,3.7,9.4,1.9,9.8,9.0
26,Environment,EdTech,462940,5095278,4666601,8.9,9.6,5.8,0.5,0.9
27,Environment,Medical,733694,8287270,2397765,6.4,3.1,3.2,7.3,9.1
28,Education,AI,811811,3168320,813535,9.6,8.9,7.6,1.0,2.2
29,Retail,Logistics,506920,2125057,4985697,10.0,9.3,9.0,5.7,8.9
30,Entertainment,E-commerce,285614,9485209,1475667,9.7,2.6,5.3,2.7,7.0
31,Transportation,Property,451071,3936770,3671719,1.4,6.1,7.1,6.6,2.0
32,Finance,EdTech,349976,0,3435315,7.0,5.2,6.8,1.4,7.6
33,Environment,FinTech,508290,987820,1518263,4.6,2.5,2.1,4.2,2.8
34,Real Estate,AI,857432,0,1202073,3.6,5.5,8.1,7.0,1.5
35,Technology,AI,359785,4993194,0,4.1,6.0,8.9,1.2,1.7
36,Education,AI,763304,5702188,318159,5.8,8.0,2.7,3.2,6.7
37,Entertainment,Logistics,572360,3135122,2326492,5.4,9.9,7.5,3.1,8.2
38,Entertainment,EdTech,330283,3534682,4139101,9.3,3.7,4.6,5.8,7.8
