id,theme_id,category_id,start_m,investments_m,crowdfunding_m,team_idx,tech_idx,comp_idx,social_idx,demand_idx
1,3,4,599419,5700980,1457486,6.2,3.5,3.6,7.2,4.6
2,5,7,308345,2826317,163924,7.9,2.6,3.6,3.0,4.5
3,10,1,207696,6638437,963804,1.9,6.0,5.9,8.2,4.5
4,2,9,607126,3514198,4627244,5.4,6.9,1.3,5.1,3.6
5,5,11,647223,6804124,855602,4.8,7.3,4.7,1.1,8.0
6,4,4,724522,6734886,4740416,6.1,7.4,5.6,9.0,1.1
7,7,2,733241,3940247,185752,2.0,7.7,8.8,8.8,4.7
8,13,1,746097,5397527,4404013,4.7,3.7,9.9,1.2,6.6
9,9,2,483911,7560912,3687025,1.3,7.4,8.3,9.7,5.0
10,6,16,874423,5267972,4044831,6.9,9.6,6.1,2.0,3.3
11,6,2,324790,2447398,1613102,2.3,4.7,9.2,8.3,9.0
12,9,10,223892,5713544,4320690,3.6,9.4,1.3,2.8,7.8
13,6,12,127278,736774,3478212,7.8,2.7,9.8,7.6,5.1
14,5,2,955364,5058637,466931,8.3,6.0,2.6,3.1,2.5
15,13,3,543239,8263414,4654895,8.5,9.5,1.9,9.1,8.1
16,5,11,340636,5071583,1524674,3.1,9.1,9.8,3.8,4.5
17,10,13,505372,2086315,2347223,3.0,6.4,2.9,3.4,4.5
18,14,3,396508,1727448,980075,1.2,2.8,3.1,1.4,7.9
19,6,12,875473,2985689,1919376,1.5,2.0,9.0,6.6,2.9
20,13,6,760419,1231499,4024365,2.8,3.8,9.0,4.2,5.2
21,11,10,755411,3445074,1833167,2.5,6.2,8.1,7.1,2.2
22,4,5,870749,1464632,4326886,6.6,9.8,9.0,9.0,4.8
23,3,15,705383,4355904,4766651,6.1,1.4,1.8,6.4,5.9
24,7,14,477366,8383173,2256166,6.5,9.3,9.9,2.2,3.8
25,14,16,408482,7622435,1790621,3.1,1.7,7.2,6.7,5.4
26,7,9,715803,8206897,2215728,4.6,4.0,1.5,2.2,5.2
27,3,2,227726,6495579,3625487,6.8,9.1,2.6,6.2,3.4
