id,theme,category,start_m,investments_m,crowdfunding_m,team_idx,tech_idx,comp_idx,social_idx,demand_idx
1,Space,Logistics,623950,0,307792,9.8,1.8,5.8,9.7,4.1
2,Biotech,FinTech,699490,0,2674684,4.0,9.0,1.3,3.6,9.5
3,Energy,TravelTech,375722,7880022,3304972,3.7,9.8,1.7,9.0,9.0
4,Space,FashionTech,451400,6814238,4761193,3.1,6.2,3.4,7.7,2.0
5,Real Estate,AI,726134,3652429,4189786,9.1,2.8,8.2,7.4,4.8
6,Security,Biotech,374837,9051562,944443,2.8,7.7,2.6,6.4,4.8
7,Food,GreenTech,340313,7123215,2397248,1.0,6.4,7.7,1.0,0.5
8,Space,FashionTech,244807,9203475,3059421,4.4,1.1,7.0,6.2,7.9
9,Real Estate,FinTech,835443,7460277,1005978,9.3,3.5,1.3,2.6,1.8
10,Travel,SpaceTech,866256,0,0,4.2,9.9,2.8,2.5,8.2
11,Real Estate,AI,935864,4667370,756317,8.8,8.5,4.8,4.7,3.8
12,Retail,FoodTech,206877,0,1122960,6.1,6.2,5.8,9.0,1.5
13,Security,Logistics,103798,5345835,156215,9.9,5.8,4.4,2.6,1.6
14,Transportation,Medical,353696,557697,2700382,3.9,4.3,3.7,6.7,6.1
15,Technology,EnergyTech,991003,601689,0,4.8,7.9,6.1,6.7,6.3
16,Healthcare,GreenTech,223572,0,233291,3.1,9.8,7.6,1.0,0.6
17,Entertainment,FashionTech,243970,6373185,0,5.3,5.6,7.2,5.1,5.0
18,Security,FinTech,732279,7393770,4673038,3.2,2.8,3.2,2.2,6.3
19,Retail,EdTech,269747,5582604,1846520,1.6,5.0,6.5,4.7,1.9
20,Security,Logistics,108540,5967855,1456388,2.0,8.4,9.9,1.6,8.2
21,Finance,Cybersecurity,360279,0,4629766,6.9,3.6,3.4,2.3,7.3
22,Security,GreenTech,399498,7585219,837593,3.4,5.9,1.4,6.8,1.1
23,Security,E-commerce,262582,0,141601,2.1,3.6,3.9,7.9,5.1
24,Space,AI,700136,5293311,927932,6.7,5.7,6.7,4.7,7.5
25,Finance,Biotech,657979,3332017,1700793,2.4,9.2,8.2,3.5,3.6
26,Entertainment,EnergyTech,417192,0,2410969,3.3,8.9,6.2,8.2,4.3
27,Real Estate,EdTech,183997,4520980,185124,6.2,5.8,6.9,0.6,0.5
28,Environment,Cybersecurity,724284,0,1255665,6.4,1.4,3.6,4.1,1.2
29,Travel,Biotech,711735,4752365,1273570,3.9,2.2,1.7,4.7,9.4
30,Transportation,TravelTech,423254,7227841,1062517,5.3,3.4,6.2,2.2,4.5
31,Food,Logistics,910668,5832481,0,3.5,6.8,1.5,8.9,4.1
32,Real Estate,FinTech,344005,0,2526591,7.8,9.6,6.2,3.1,7.2
33,Energy,FoodTech,219644,6386747,3895197,2.2,9.6,3.3,2.3,6.9
34,Education,Cybersecurity,681249,8602386,0,5.7,1.6,1.8,3.0,9.6
35,Energy,EnergyTech,816659,6084547,1857464,8.8,3.9,3.4,5.9,7.0
36,Fashion,FinTech,151035,9414713,813192,4.4,2.5,5.1,8.1,7.0
37,Environment,EnergyTech,560964,7652741,0,9.8,9.8,5.8,3.1,1.7
38,Technology,FinTech,537917,1586650,3848002,2.4,1.4,6.4,1.9,6.6
39,Security,Media,999230,9246465,0,6.8,1.8,1.6,8.4,1.3
40,Fashion,Biotech,362326,4853512,3602790,3.3,5.5,6.8,6.4,7.1
41,Finance,E-commerce,417975,8910153,383388,1.2,4.0,2.9,0.6,0.6
42,Travel,GreenTech,570577,9679997,4710658,3.7,8.9,9.3,2.2,3.2
43,Environment,Media,716371,3382267,141236,8.9,8.5,8.1,7.3,4.3
44,Real Estate,FashionTech,674878,7468353,1836626,2.5,8.7,1.2,2.5,7.0
45,Food,SpaceTech,513011,7076654,4690181,7.1,2.9,8.4,2.6,6.3
46,Education,Property,468336,5176450,165311,6.8,6.5,8.0,6.0,1.3
47,Healthcare,GreenTech,162425,6744828,1208180,1.5,8.7,2.0,0.1,0.3
48,Fashion,GreenTech,874264,6686217,3707272,6.8,8.9,8.9,7.4,1.4
49,Environment,FoodTech,538634,2054167,0,9.9,5.6,6.8,9.6,3.3
50,Education,Cybersecurity,890146,3185282,1555018,6.4,4.1,8.9,2.8,4.1
51,Retail,Biotech,190833,6779467,4711766,6.5,1.1,8.3,0.4,0.5
52,Travel,FashionTech,835585,3023819,3743589,3.3,6.0,7.9,7.8,6.8
53,Biotech,E-commerce,616350,9608181,681753,3.8,10.0,3.4,0.9,0.7
54,Real Estate,Cybersecurity,159337,5625744,2043313,4.2,5.7,2.4,0.1,0.9
55,Fashion,AI,753439,9913307,2958664,5.2,7.7,2.8,3.9,8.8
56,Real Estate,Cybersecurity,281711,0,0,2.2,1.0,2.4,4.5,5.4
57,Retail,FashionTech,482931,2908616,1682716,9.9,5.4,3.0,1.1,3.9
58,Energy,AI,179828,6492058,218900,7.0,6.7,3.2,2.9,8.3
59,Transportation,Biotech,767889,524605,960830,3.7,7.1,4.2,6.0,7.5
60,Travel,AI,706296,2534232,0,7.1,3.2,6.4,6.1,1.6
61,Entertainment,EdTech,755090,0,299631,2.7,4.1,7.6,3.5,8.0
62,Education,FinTech,318779,4655346,4276459,9.4,5.5,5.2,3.5,5.0
63,Biotech,AI,835935,9612795,1104445,6.7,2.8,6.9,7.7,3.0
64,Retail,FoodTech,276439,0,4593114,5.1,5.7,2.9,9.0,9.4
65,Healthcare,Medical,465368,0,1032001,1.3,3.6,4.2,0.4,0.3
66,Biotech,FoodTech,598710,7680814,1271696,4.4,7.2,6.4,9.6,4.1
67,Security,Media,467124,8461282,0,6.1,8.0,1.8,1.7,8.9
68,Retail,TravelTech,671344,3761244,734278,5.4,5.1,4.0,2.4,3.4
69,Space,Logistics,975066,8290148,3134194,10.0,4.4,5.4,8.3,1.1
70,Transportation,E-commerce,277792,5893533,4519995,6.4,6.8,7.6,9.0,8.9
71,Healthcare,Medical,487330,4898870,3626478,3.9,1.1,7.7,9.6,5.5
72,Finance,Property,430031,4886653,329903,5.4,5.4,5.0,6.0,8.4
73,Security,FinTech,751789,0,4816993,4.5,2.9,3.8,8.1,3.4
74,Energy,E-commerce,345061,7626029,3801615,9.0,2.5,7.5,7.7,4.8
75,Fashion,EnergyTech,277277,7503236,2567637,1.8,8.1,1.2,6.7,9.5
76,Travel,SpaceTech,158806,6170032,190963,9.5,1.7,4.1,8.4,3.7
77,Energy,FinTech,133336,9559550,0,2.4,2.8,3.0,1.4,3.3
78,Healthcare,SpaceTech,788032,0,1715670,9.2,7.3,4.1,9.8,1.3
79,Food,E-commerce,595263,8816652,3704659,8.9,7.8,6.2,0.2,0.8
80,Energy,AI,528991,0,0,10.0,4.2,2.8,1.9,3.6
81,Technology,TravelTech,357022,1571456,1612760,1.2,7.8,6.1,9.7,5.3
82,Real Estate,FinTech,641647,0,1218588,2.0,9.9,2.3,3.1,9.2
83,Space,Logistics,639636,0,3916500,5.0,9.3,7.4,8.5,5.8
84,Education,E-commerce,666357,1237630,1473999,5.0,9.2,5.9,3.4,8.7
85,Healthcare,Property,217373,0,4779406,4.8,4.9,1.7,9.5,9.4
86,Security,SpaceTech,881033,698317,1582625,5.7,8.0,8.7,3.2,9.3
87,Technology,EnergyTech,884785,9673492,3201744,9.3,3.6,8.2,1.3,7.1
88,Food,Biotech,970087,5039093,3116212,5.8,7.4,1.4,6.8,3.8
89,Energy,FoodTech,404942,0,4340149,1.4,3.7,6.2,8.8,6.9
90,Technology,FoodTech,654064,8731526,1039674,4.7,5.2,2.6,7.1,1.6
91,Education,Cybersecurity,778226,8344353,3642867,8.6,4.2,7.1,0.0,0.5
92,Travel,Medical,888571,9263588,461786,7.6,4.3,8.5,3.3,5.3
93,Finance,EnergyTech,558098,8408748,3284534,1.1,3.2,8.2,7.1,1.5
94,Travel,EdTech,301810,2211238,1575623,7.6,9.7,5.3,8.1,1.9
95,Travel,E-commerce,925802,3888486,1577723,9.8,8.2,7.6,1.6,5.5
96,Fashion,FoodTech,325420,1863765,2819784,5.8,9.4,1.4,0.9,0.4
97,Biotech,Medical,641648,4127514,0,5.6,9.4,3.8,8.6,3.0
98,Environment,Media,688696,1120483,140857,9.9,1.4,4.9,5.7,7.9
99,Travel,EdTech,338111,0,4353890,2.1,5.4,5.3,1.7,4.3
100,Retail,FashionTech,741891,0,2457667,5.6,5.5,1.8,8.4,1.8
101,Transportation,GreenTech,311791,2187840,4865999,7.5,7.1,9.1,3.9,8.4
102,Travel,E-commerce,178183,8178287,3693687,7.9,9.3,9.0,7.8,7.9
103,Transportation,GreenTech,986709,7692478,3045479,7.2,6.2,8.0,1.8,8.9
104,Food,FinTech,614674,8818960,3330291,7.9,1.1,2.8,0.8,1.0
105,Entertainment,SpaceTech,874539,9783716,303229,1.1,5.4,7.1,2.9,9.5
106,Security,FashionTech,473889,6020219,4865959,8.8,1.9,6.7,4.9,4.0
107,Energy,Property,914027,4445749,748555,7.8,7.9,10.0,9.1,1.6
108,Space,E-commerce,399404,9172039,1051972,7.4,8.5,3.7,7.1,4.4
109,Energy,E-commerce,962301,0,0,9.3,3.2,1.6,6.7,5.2
110,Travel,Biotech,388097,2650244,2316052,1.3,6.0,6.5,2.6,8.9
111,Entertainment,Logistics,599888,6079762,0,3.7,7.8,3.0,5.2,9.3
112,Security,FinTech,295572,4491685,2117870,2.7,7.5,3.4,8.6,3.0
113,Fashion,Media,376834,6160264,2184228,3.2,7.7,2.5,9.0,1.4
114,Transportation,EnergyTech,169733,4195360,0,1.6,6.3,8.3,4.2,8.3
115,Biotech,Logistics,849171,0,0,6.2,1.9,5.1,9.3,7.1
116,Entertainment,EnergyTech,618383,621678,4589026,6.8,3.4,3.5,9.8,1.6
117,Security,Medical,328588,3448147,4271497,5.8,3.9,2.3,9.0,5.2
118,Food,TravelTech,319222,0,2014363,3.3,6.3,5.3,6.5,1.5
119,Retail,FashionTech,917927,0,1970283,1.5,8.5,2.7,5.7,2.0
120,Retail,TravelTech,986345,5273339,0,8.7,5.5,6.6,5.6,3.6
121,Transportation,E-commerce,273765,0,3150961,1.5,7.3,6.4,6.6,9.3
122,Education,FoodTech,877440,1747507,3897914,7.2,1.6,9.1,0.5,0.9
123,Healthcare,Logistics,789846,6083749,1631809,6.4,2.8,7.0,6.1,3.1
124,Retail,Cybersecurity,465100,0,2401102,1.7,5.6,6.8,5.4,4.5
125,Biotech,FinTech,162097,0,1452712,7.7,8.0,6.0,5.1,3.0
126,Energy,FoodTech,649346,0,4907047,7.0,1.8,5.7,2.3,3.6
127,Transportation,TravelTech,487010,7638662,3539711,6.2,2.4,4.8,6.8,3.3
128,Space,FinTech,592833,8072060,462506,9.8,6.8,7.7,7.6,9.2
129,Entertainment,TravelTech,147779,8325140,463136,2.0,8.2,3.0,4.3,9.7
130,Retail,FoodTech,653678,5753297,2281952,7.2,3.8,5.3,7.8,2.9
131,Healthcare,Medical,359275,1754713,4350653,5.3,5.1,1.3,5.5,3.8
132,Finance,FashionTech,980348,0,4618493,6.8,7.1,7.7,6.3,3.9
133,Travel,Property,506111,7312045,3554405,5.0,9.5,3.6,3.4,4.0
134,Food,FoodTech,250242,3921815,1256121,7.4,8.6,6.7,0.8,0.0
135,Finance,Media,474370,1439016,3879136,5.4,3.0,8.9,1.2,7.0
136,Transportation,FoodTech,599799,2850312,2458716,8.0,4.9,3.9,6.9,7.2
137,Space,EnergyTech,296493,5917500,2295884,5.6,5.6,2.5,3.9,3.6
138,Energy,FashionTech,951823,0,716307,8.4,2.1,9.3,2.2,8.4
139,Education,Biotech,678546,9010170,693321,6.9,3.5,5.1,6.5,6.0
140,Food,GreenTech,741345,5786660,2358099,4.5,3.2,9.7,9.7,2.5
141,Finance,Property,830113,7004284,0,8.0,5.5,7.1,3.2,9.4
142,Real Estate,E-commerce,870321,0,0,8.5,3.9,6.9,4.1,1.9
143,Finance,SpaceTech,210921,0,3466791,7.2,8.5,2.7,7.5,6.0
144,Real Estate,FinTech,588285,8987532,2509332,3.0,5.5,1.1,2.1,6.1
145,Transportation,EnergyTech,125400,8237136,4174443,2.6,4.5,1.1,9.6,5.3
146,Healthcare,AI,316160,6744578,2392197,5.5,9.0,1.2,7.7,5.0
