id,theme_id,category_id,start_m,investments_m,crowdfunding_m,team_idx,tech_idx,comp_idx,social_idx,demand_idx
1,5,4,32250,14000,38468,3.8,6.5,1.3,8.2,4.5
2,6,8,36000,1500,80220,9.5,1.0,7.1,6.1,9.1
3,7,9,44500,29500,64586,1.0,5.1,1.4,4.2,3.4
4,4,5,41500,17000,119323,9.2,5.8,8.2,7.6,5.3
5,8,9,45000,24000,210950,3.7,4.3,9.9,7.7,4.8
6,5,5,25000,12000,129009,6.2,1.9,4.8,7.2,7.8
7,9,1,29250,43000,153275,8.3,2.9,1.7,2.9,1.5
8,3,4,41000,21500,34951,8.9,4.0,3.4,2.5,1.6
9,6,7,31500,48500,17488,2.1,5.1,5.6,5.2,7.2
10,4,5,7750,25500,14276,3.2,7.2,8.0,7.0,2.8
11,9,4,24250,15000,72572,5.8,6.2,9.4,2.7,7.3
12,8,3,25000,8000,9739,4.9,2.0,3.5,10.0,8.3
13,4,5,32250,17500,128391,7.6,6.0,9.5,5.9,1.1
14,4,7,14500,45500,152910,4.5,3.7,5.3,7.0,6.3
15,3,8,38000,37500,14949,6.3,7.2,2.7,9.3,5.6
16,5,2,14750,4000,170921,8.7,7.3,3.5,4.7,8.1
17,3,6,3250,42500,210577,7.7,8.7,6.3,2.2,5.6
18,6,7,34250,46000,117359,9.9,9.7,5.3,6.1,9.2
19,8,8,10750,46500,85755,1.4,8.4,8.5,7.7,9.8
20,9,10,32000,9500,136278,5.4,3.3,5.9,6.5,9.8
21,3,8,12500,21500,56516,6.2,3.8,6.1,1.2,8.4
22,1,4,35250,42500,237343,4.0,1.2,8.9,7.7,7.1
23,9,2,6500,23000,15192,2.6,7.9,5.5,6.2,6.9
24,5,9,27000,32500,184542,6.5,8.2,5.9,2.3,9.5
25,3,7,7000,22000,62580,9.8,9.5,4.6,6.5,8.9
26,4,3,4250,12000,244409,1.1,3.0,7.5,1.2,9.0
27,3,4,23000,27500,26727,3.0,1.6,2.0,4.3,9.2
28,1,6,4000,500,226142,8.2,6.0,3.4,7.2,4.7
29,7,2,16750,2000,70128,9.5,5.9,2.4,9.4,9.6
30,6,5,1500,41000,137394,2.9,2.5,3.6,3.6,3.2
31,6,1,750,49500,68471,3.2,7.9,8.8,9.9,3.2
32,8,3,6500,29000,155675,6.9,2.7,1.8,4.9,6.4
33,8,5,17000,24500,239858,9.8,8.6,8.3,2.1,1.3
34,3,4,2000,13500,112937,2.0,3.5,2.8,6.1,7.2
35,4,10,9250,10000,142338,4.3,9.3,8.1,5.9,8.8
36,2,4,18000,14000,170334,2.1,2.8,8.3,8.2,6.8
37,5,7,45250,24000,100171,4.1,3.1,7.6,1.7,8.6
38,3,7,7000,23500,187249,6.3,9.3,8.4,8.4,9.5
39,2,9,33250,24000,81347,6.3,9.6,3.0,9.2,2.6
40,7,5,8750,25000,136884,9.5,8.1,3.6,9.6,1.5
41,4,8,7250,4500,149568,7.9,1.7,6.5,6.7,5.9
42,7,5,29250,42500,235605,2.0,7.2,5.1,9.9,4.2
43,8,7,7750,35500,121780,3.8,4.5,9.0,6.3,6.8
44,2,3,19250,29500,125462,4.2,5.2,7.4,4.3,7.6
45,7,1,8000,36000,69274,2.7,6.1,9.4,3.1,8.4
46,8,7,23000,41000,147911,4.2,7.8,3.7,2.1,9.8
47,3,9,26000,35000,108435,3.2,2.4,2.7,7.2,2.1
48,9,10,39250,32500,159682,8.5,9.3,4.7,1.1,9.3
49,4,10,12250,15000,40290,9.4,6.0,6.9,3.1,2.9
50,8,9,39500,3500,9087,2.7,3.2,2.4,4.2,6.8
51,7,7,42750,39500,195020,5.9,5.0,8.1,3.0,4.3
52,9,8,21000,17500,61521,3.6,4.0,5.6,9.8,2.6
53,7,6,37500,39500,242189,6.7,2.7,3.4,5.1,2.3
54,2,1,42500,22000,191951,6.7,9.7,3.6,2.2,9.8
55,9,9,18000,13500,211023,4.5,1.4,4.7,3.1,3.6
56,7,7,7500,28000,214821,4.3,1.6,2.8,3.5,6.9
57,9,4,33500,34500,31858,4.8,4.7,3.9,6.9,1.5
58,7,9,22500,23500,46984,8.6,6.4,3.1,7.9,5.3
59,7,8,5500,42000,75028,7.4,6.7,5.4,7.1,9.3
60,8,4,48500,30000,44531,9.9,8.9,9.2,9.2,7.3
61,4,10,18250,19000,75329,2.8,6.7,7.0,8.3,4.5
62,9,8,9750,24000,106115,7.8,6.4,9.7,6.7,6.1
63,4,5,16000,39500,225543,6.3,8.7,2.2,7.3,9.1
64,7,10,9000,43500,23237,3.1,5.2,5.3,6.9,5.2
65,8,3,35750,15000,123467,8.5,6.1,9.8,9.5,9.9
66,4,1,38500,4500,184057,9.5,2.2,4.0,2.7,2.3
67,9,7,41750,49000,229084,1.2,9.3,9.9,9.4,2.8
68,9,4,43000,15000,144627,8.7,3.0,4.0,8.8,2.4
69,8,7,8750,12500,104260,1.5,7.6,2.6,8.8,9.4
70,4,1,13500,42500,59612,7.5,3.2,5.9,9.9,8.5
71,4,9,17000,25000,93543,3.0,6.4,2.6,5.3,2.1
72,1,2,14250,31500,94886,5.1,5.9,1.1,1.6,9.1
73,4,3,22500,24000,102924,3.1,8.1,6.3,7.6,7.4
74,4,8,3500,7000,121424,7.6,3.4,2.8,2.3,2.7
75,3,4,12250,12500,129590,5.9,6.7,1.6,4.7,7.8
76,1,9,45500,49000,228956,4.7,3.0,9.2,2.9,5.1
77,6,5,26250,19000,112471,5.8,1.2,6.5,2.1,4.7
78,7,4,19750,7000,13423,5.9,3.8,1.3,4.0,1.6
79,6,7,45500,26500,52615,6.3,4.5,4.1,9.5,6.2
80,8,4,6250,6500,97623,6.8,9.2,3.1,1.8,3.2
81,5,6,42500,39000,236316,1.9,1.8,3.5,5.7,1.8
82,8,10,8500,38000,197771,9.4,7.2,7.3,9.6,8.4
83,3,9,38750,500,94188,6.7,9.4,5.2,6.4,8.6
84,8,6,35500,38500,119687,3.1,8.8,7.9,5.3,1.5
85,5,8,21000,21000,45810,3.4,9.5,3.6,6.4,9.2
86,9,10,33750,38000,227691,5.8,3.5,8.4,7.7,8.7
87,2,3,24000,47000,26455,5.4,4.3,9.1,7.1,7.0
88,8,4,39250,4500,98920,4.8,5.2,9.3,6.3,6.6
89,1,8,37000,41500,161877,4.3,8.5,8.8,4.3,9.6
90,8,2,25750,21000,46662,2.7,2.9,2.9,8.4,4.6
91,5,7,47750,18500,21067,7.5,9.5,6.1,2.4,8.5
92,1,8,16750,20500,205509,1.2,2.8,8.4,4.6,5.0
93,4,2,30250,7000,38940,1.8,5.0,2.9,3.3,8.4
94,8,8,33500,16000,71623,9.9,2.4,5.6,8.7,7.9
95,5,4,34750,5500,30844,4.6,7.6,5.0,6.2,8.9
96,6,4,37000,46000,15840,5.9,5.9,3.1,9.7,4.4
97,4,8,38250,19500,209929,9.8,5.5,6.6,4.3,3.0
98,2,10,27250,37500,191428,1.4,9.9,7.4,8.5,8.1
99,8,8,33500,500,75490,3.3,6.0,9.9,3.5,7.5
100,3,1,31500,30000,175105,7.1,7.9,1.4,2.5,4.0
101,6,9,48000,0,51481,4.2,5.7,8.5,6.7,3.2
102,8,2,12000,4000,63005,4.9,8.5,6.7,1.0,2.1
103,9,8,48250,35500,178058,9.8,1.7,8.5,9.2,5.7
104,4,5,19750,32500,137436,6.4,2.7,4.4,7.4,7.9
105,6,1,6750,33500,155791,7.5,8.7,1.7,8.5,5.4
106,2,2,4750,46500,167832,9.9,9.5,2.9,9.3,3.7
107,2,3,33000,25500,110835,3.1,9.8,6.2,5.9,4.6
108,3,7,3250,7500,152595,1.9,6.7,7.6,8.3,9.9
109,5,5,46250,37000,183319,5.5,3.8,2.0,6.4,4.0
110,4,10,25250,37500,232632,6.2,5.8,9.0,9.6,1.3
111,2,1,13500,26500,59522,1.8,8.1,9.7,9.1,2.3
112,5,10,24000,35500,27976,1.1,4.5,8.7,2.3,9.8
113,8,4,48250,20000,196488,1.7,1.8,7.0,4.6,6.9
114,6,7,8750,17000,91918,2.2,7.3,4.1,9.3,1.4
115,1,1,44750,26000,196248,6.2,2.1,3.0,5.3,1.5
116,7,3,9750,38500,41953,5.0,1.2,4.8,4.7,8.2
117,9,1,48500,15500,227776,8.5,2.0,1.8,6.9,4.9
118,8,10,17750,20000,40199,8.3,3.3,2.6,1.0,3.4
119,5,10,12500,46000,54267,1.2,9.6,4.9,7.8,7.6
120,8,8,12250,47500,5838,6.8,2.3,9.2,3.9,7.1
121,4,3,7500,39000,54163,3.1,2.2,9.2,2.9,5.2
122,4,6,38750,29500,216519,5.1,3.3,6.9,5.1,10.0
123,5,3,28000,19000,79012,5.9,9.3,2.4,6.7,7.2
124,7,7,1250,35000,63413,6.8,6.4,6.1,8.6,10.0
125,4,10,2500,8000,121597,8.0,5.3,6.0,8.5,2.9
126,2,2,13000,24000,208374,8.7,2.2,4.3,9.9,1.2
127,7,2,2000,5500,26781,5.7,2.4,8.1,2.6,2.7
128,1,3,37000,39500,6946,5.0,4.5,8.4,7.7,6.2
129,5,4,13000,33500,138019,5.6,5.5,7.1,6.5,3.2
130,1,3,48000,8500,45266,4.4,1.6,3.8,4.9,7.7
131,9,7,24000,13000,8647,2.4,9.8,1.2,1.6,6.4
132,1,2,38250,46000,146213,7.5,9.1,5.6,6.9,9.2
133,4,9,41250,41000,136929,9.8,8.5,2.7,5.3,5.0
134,2,2,33750,33500,65369,3.4,7.6,8.2,4.2,7.1
135,3,6,22750,40500,95461,4.6,8.8,4.2,5.6,6.4
136,9,3,32500,50000,112488,5.9,5.9,3.1,2.2,5.3
137,9,4,30000,37500,88468,4.9,2.6,4.3,5.6,7.2
138,8,2,15000,12000,21300,1.4,6.3,1.5,6.8,1.3
139,4,9,34250,2500,10994,6.1,6.0,3.4,4.1,3.2
140,1,2,20750,3000,4801,6.1,2.1,8.2,8.4,8.1
141,2,3,36750,40500,185156,2.9,5.3,6.7,2.6,3.5
142,2,6,15250,17000,83986,6.1,7.6,6.1,1.8,3.4
143,2,9,49000,32500,212742,1.2,1.7,8.1,4.2,8.3
144,5,10,46750,29000,191583,2.5,7.7,8.7,4.9,7.5
145,1,4,29000,3500,154244,8.1,1.0,1.9,6.4,3.2
146,5,9,39000,48000,96680,4.0,8.2,7.7,5.3,6.8
147,7,10,37500,10000,184822,7.5,8.1,2.0,2.5,2.8
148,3,10,30500,30000,246473,6.1,1.4,6.1,7.9,3.8
149,8,1,14750,32000,202469,4.8,9.6,1.3,7.3,9.5
150,6,3,40500,24500,57631,9.2,8.8,6.5,9.0,6.0
151,8,2,31000,2000,165276,9.7,1.6,1.8,8.2,8.7
152,5,3,39500,13000,245141,3.9,9.8,7.9,8.6,8.6
153,4,2,48250,25000,65927,5.3,4.9,8.1,2.1,8.5
154,1,6,42000,36500,207107,6.5,8.4,2.5,8.5,9.1
155,1,2,20500,17500,223924,5.2,3.7,7.6,2.5,3.1
156,3,2,27750,3500,211916,8.9,4.1,9.7,7.1,3.4
157,1,6,1000,29000,166940,9.5,5.4,4.1,7.7,3.4
158,9,5,29500,14500,168989,3.8,7.9,9.9,4.8,4.5
159,2,1,49500,37500,79169,6.3,7.5,9.2,9.1,6.4
160,2,10,16500,19000,202392,8.2,1.4,4.1,5.5,8.0
161,2,7,7000,4500,49012,5.7,6.5,6.4,2.0,3.4
162,5,6,37750,45500,140787,2.2,6.5,4.6,6.3,1.9
163,5,5,9250,5000,8844,5.2,5.6,6.6,2.6,6.7
164,1,7,23000,11000,110344,4.0,4.5,1.8,1.9,1.6
165,2,3,37250,48000,230873,9.7,2.9,2.4,9.8,3.4
166,8,1,21250,27000,213246,9.7,2.2,5.9,8.6,9.7
167,9,8,23500,18000,72026,10.0,9.2,4.3,5.6,2.0
168,3,6,10000,10500,232560,2.3,3.8,9.7,4.7,1.2
