id,theme_id,category_id,start_m,investments_m,crowdfunding_m,team_idx,tech_idx,comp_idx,social_idx,demand_idx
1,4,3,57250,56000,42332,9.4,2.6,6.6,8.6,1.1
2,2,5,14250,174500,17248,8.8,5.4,4.9,2.6,4.7
3,6,3,42750,53500,12533,1.7,6.2,1.8,1.2,4.8
4,3,3,90000,71000,12356,2.0,8.2,5.3,3.3,7.9
5,1,5,21000,46000,49738,4.3,8.1,2.2,8.5,6.8
6,6,7,49750,67500,1809,6.6,3.7,6.5,4.9,7.9
7,7,8,50500,160000,43405,1.2,2.8,4.4,6.2,9.2
8,3,10,68750,127500,48274,8.2,2.3,5.6,7.4,2.6
9,1,7,66250,54000,47884,4.1,7.8,3.1,3.5,3.5
10,4,5,37750,19000,13207,7.0,1.7,2.3,2.7,9.6
11,8,10,71750,34000,48525,9.7,4.3,8.8,6.9,6.4
12,5,3,90500,73000,26093,7.8,9.4,6.8,5.6,2.1
13,1,9,82000,152000,15376,5.4,5.1,5.7,4.0,5.6
14,2,6,7000,174000,43802,6.5,7.2,8.3,8.9,7.5
15,3,8,27250,57500,36199,2.6,10.0,8.4,1.8,4.4
16,9,1,52750,194000,7246,6.0,4.0,1.2,5.9,2.1
17,3,8,80750,50500,36424,1.3,2.2,2.7,6.4,7.7
18,2,6,48250,75000,2910,1.9,3.0,3.9,4.4,1.6
19,4,10,90250,163500,19901,8.6,1.2,1.4,3.7,5.6
20,8,5,10750,144000,3687,7.2,5.6,7.3,2.3,7.1
21,4,8,19500,25500,47185,7.7,10.0,2.3,9.9,3.7
22,2,4,17000,98000,4017,3.7,6.8,6.9,2.7,3.8
23,4,2,59750,30500,27214,3.8,2.9,6.3,9.2,8.4
24,8,2,20750,76000,17235,1.6,8.6,7.9,2.6,2.8
25,9,4,42250,190000,3916,9.8,6.0,5.7,5.0,5.6
26,3,3,10000,89500,28811,3.7,8.2,1.7,6.4,6.2
27,2,4,85750,84500,15050,5.3,5.2,8.4,4.7,8.5
28,9,6,21250,27500,22366,3.4,6.6,8.8,7.9,1.9
29,1,9,28250,45000,41527,1.4,6.3,5.2,1.2,2.6
30,8,1,29000,13000,40531,5.9,6.8,9.6,1.0,2.5
31,4,10,65000,157500,27359,7.1,9.2,6.6,3.1,3.5
32,5,7,50250,191500,45042,4.3,2.0,1.9,1.9,7.1
33,3,3,64000,183500,1151,5.9,7.0,6.3,8.5,1.8
34,5,1,30000,198000,5065,7.2,6.4,3.9,7.2,9.5
35,6,7,39500,182500,40667,9.2,10.0,5.0,9.5,4.0
36,5,8,29000,151000,31090,7.2,6.0,7.2,6.9,3.6
37,1,1,37250,38500,1730,4.3,5.6,9.8,7.3,7.3
38,3,4,25250,21000,44201,7.5,9.2,1.6,9.2,3.7
39,8,9,65250,140500,49922,9.8,1.0,4.3,1.2,6.0
40,7,9,72250,99000,48430,9.8,5.2,5.9,4.7,2.8
41,9,3,9000,181500,35586,2.1,4.4,10.0,9.1,9.4
42,9,6,94000,169000,5416,2.9,7.2,6.4,9.4,8.3
43,1,2,75750,69500,36214,9.4,2.7,2.3,6.9,4.3
44,8,9,77000,194000,36493,1.8,5.0,8.0,4.2,1.4
45,5,10,2750,195500,32107,8.8,8.4,2.2,9.8,6.5
46,9,9,58500,53500,17450,5.8,2.9,1.7,2.8,6.6
47,9,4,38250,29500,5372,7.7,9.8,8.0,9.0,3.4
48,1,10,47500,36000,44457,6.6,1.4,5.5,6.2,3.3
49,1,3,39000,161000,32467,7.0,9.2,4.4,3.5,9.2
50,9,8,85250,179500,30924,1.9,8.4,1.1,9.1,8.4
51,9,8,97000,153000,40044,6.2,7.3,4.9,4.7,9.6
52,5,10,20500,107000,35545,4.9,3.9,6.3,7.7,3.9
53,6,10,80500,95000,30677,6.1,2.4,5.6,4.9,6.1
54,5,9,34750,117000,14046,8.5,6.4,9.0,7.7,3.7
55,1,2,21000,110500,23880,9.1,6.9,6.0,8.5,9.6
56,6,8,52000,67000,42108,9.5,2.0,2.7,7.4,7.2
57,8,6,44750,194000,16328,2.4,8.0,4.8,4.8,3.2
58,6,4,57750,174500,42913,5.0,5.6,6.5,9.8,4.8
59,4,5,27000,75500,11153,4.6,6.4,9.1,2.4,9.3
60,6,5,9250,54500,5752,6.3,1.2,8.9,9.0,2.7
61,2,1,90000,76000,39618,2.6,4.0,1.4,4.8,9.0
62,2,6,97750,149500,13287,3.0,6.4,8.2,9.0,7.9
63,6,4,65750,8000,24614,4.3,9.4,8.1,9.5,5.2
64,1,5,71500,150500,46627,5.6,8.9,5.8,6.3,7.5
65,2,3,20000,28500,27768,3.8,9.5,9.1,6.2,6.0
66,5,10,75500,9000,40370,8.9,4.6,7.7,9.9,9.5
67,9,10,69000,44500,47352,6.3,5.5,8.3,7.3,1.1
68,2,4,20500,123500,27049,4.1,1.1,7.4,9.0,8.7
69,3,8,46500,44000,45306,6.2,9.7,5.7,5.7,8.8
70,2,1,14500,105500,6083,3.0,7.6,8.0,4.5,7.3
71,7,10,77000,92500,22516,9.6,8.1,6.2,9.8,2.9
72,1,5,98750,149000,21576,2.6,4.7,9.1,1.6,3.5
73,4,1,67250,104500,28843,2.7,1.2,4.3,8.6,1.7
74,9,2,51750,163000,6529,6.6,6.3,1.6,4.1,9.6
75,1,10,85250,120500,18262,6.1,2.4,3.0,5.9,5.6
76,1,2,69500,195500,15726,4.7,5.5,1.4,3.4,2.0
77,2,3,94250,74000,7787,2.4,8.5,1.3,1.1,3.6
78,8,1,79750,123000,40593,5.9,2.8,5.1,7.4,6.2
79,9,6,56000,24000,18902,2.1,8.2,6.0,6.0,2.7
80,8,1,18000,49500,14164,6.7,9.2,5.6,6.4,5.6
81,4,7,51250,117500,23246,5.8,2.6,1.0,3.8,3.5
